label,filename
0,AC_olfactory_parametrized_axis.vtk
1,AC_temporal_parametrized_axis.vtk
2,Arc_L_FT_parametrized_axis.vtk
3,Arc_L_FrontoParietal_parametrized_axis.vtk
4,Arc_L_TemporoParietal_parametrized_axis.vtk
5,Arc_R_FT_parametrized_axis.vtk
6,Arc_R_FrontoParietal_parametrized_axis.vtk
7,Arc_R_TemporoParietal_parametrized_axis.vtk
8,CGC_L_parametrized_axis.vtk
9,CGC_R_parametrized_axis.vtk
10,CGH_L_parametrized_axis.vtk
11,CGH_R_parametrized_axis.vtk
12,CG_orbitofrontal_L_parametrized_axis.vtk
13,CG_orbitofrontal_R_parametrized_axis.vtk
14,CorpusCallosum_Genu_Lateral_parametrized_axis.vtk
15,CorpusCallosum_Genu_parametrized_axis.vtk
16,CorpusCallosum_Motor_parametrized_axis.vtk
17,CorpusCallosum_Parietal_parametrized_axis.vtk
18,CorpusCallosum_Premotor_parametrized_axis.vtk
19,CorpusCallosum_Splenium_parametrized_axis.vtk
20,CorpusCallosum_Tapetum_parametrized_axis.vtk
21,CorticoFugal_L_Motor_parametrized_axis.vtk
22,CorticoFugal_L_Parietal_parametrized_axis.vtk
23,CorticoFugal_L_PreFrontal_parametrized_axis.vtk
24,CorticoFugal_L_PreMotor_parametrized_axis.vtk
25,CorticoFugal_R_Motor_parametrized_axis.vtk
26,CorticoFugal_R_Parietal_parametrized_axis.vtk
27,CorticoFugal_R_PreFrontal_parametrized_axis.vtk
28,CorticoFugal_R_PreMotor_parametrized_axis.vtk
29,CorticoSpinal_L_parametrized_axis.vtk
30,CorticoSpinal_R_parametrized_axis.vtk
31,CorticoThalamic_L_Motor_parametrized_axis.vtk
32,CorticoThalamic_L_Parietal_parametrized_axis.vtk
33,CorticoThalamic_L_PreFrontal_parametrized_axis.vtk
34,CorticoThalamic_L_PreMotor_parametrized_axis.vtk
35,CorticoThalamic_R_Motor_parametrized_axis.vtk
36,CorticoThalamic_R_Parietal_parametrized_axis.vtk
37,CorticoThalamic_R_PreFrontal_parametrized_axis.vtk
38,CorticoThalamic_R_PreMotor_parametrized_axis.vtk
39,Fornix_L_parametrized_axis.vtk
40,Fornix_R_parametrized_axis.vtk
41,Fornix_narrow_L_parametrized_axis.vtk
42,Fornix_narrow_R_parametrized_axis.vtk
43,ICP_L_parametrized_axis.vtk
44,ICP_R_parametrized_axis.vtk
45,IFOF_L_parametrized_axis.vtk
46,IFOF_R_parametrized_axis.vtk
47,ILF_L_parametrized_axis.vtk
48,ILF_R_parametrized_axis.vtk
49,MCP_PontoCerebellar_Posterior_parametrized_axis.vtk
50,MCP_PontoCerebellor_Anterior_parametrized_axis.vtk
51,MCP_Superior_parametrized_axis.vtk
52,MdLF_L_parametrized_axis.vtk
53,MdLF_R_parametrized_axis.vtk
54,OpticRadiation_L_parametrized_axis.vtk
55,OpticRadiation_R_parametrized_axis.vtk
56,Optic_Tract_L_parametrized_axis.vtk
57,Optic_Tract_R_parametrized_axis.vtk
58,SCP_L_parametrized_axis.vtk
59,SCP_R_parametrized_axis.vtk
60,SLF_II_L_parametrized_axis.vtk
61,SLF_II_R_parametrized_axis.vtk
62,StriaTerminalis_L_parametrized_axis.vtk
63,StriaTerminalis_R_parametrized_axis.vtk
64,UNC_L_parametrized_axis.vtk
65,UNC_R_parametrized_axis.vtk
66,UNC_sup_L_parametrized_axis.vtk
67,UNC_sup_R_parametrized_axis.vtk
